Set,Sorting Name,Title,Text,Casting Cost,Rule Book Notes
Expansion 1,expressroute,"Curse Of
The Express Route","Seekers cannot disembark any transit for the next [S10, M20, L30] minutes, unless they've reached the end of a line.","Discard at least [S10, M15, L20] minutes worth of time bonuses.",Players may not discard part of a time bonus; they must discard cards in their entirety. It is possible that players may have to discard more than the required number of minutes in order to pay for this curse.
Expansion 1,featherlessflight,"Curse Of
Featherless Flight","Construct a paper airplane. You may practice throwing it, but you get one official attempt to measure how far it flies horizontally. The seekers must construct, throw, and retrieve an airplane from at least the same distance before asking another question.",Throw and retrieve a paper airplane.,"A paper airplane may take any form, but must be constructed entirely from paper. The paper airplane may be thrown from a height in order to achieve extra lateral distance."
Expansion 1,fiveminuteking,"Curse Of
The 5-Minute King","Remove all 5-minute bonuses from the deck for the rest of your run. After doing so, you must reshuffle the deck.",Discard two 5-minute bonus cards.,—
Expansion 1,freewheeler,"Curse Of
The Freewheeler",The next three questions that the seekers ask must be asked while on a moving form of transit.,"Seekers must be at least [S2, M5, L50]mi [S4, M8, L80]km from you.",—
Base Game,gamblersfeet,"Curse Of
The Gambler's Feet","For the next [S20, M40, L60] minutes, seekers must roll a die before they take any steps in any direction. They may take that many steps before rolling again.","Roll a die. If it's an even number, this curse has no effect.","The die rolled for this curse must be a d6. If there are multiple seekers, seekers may choose to roll independently or have one die dictate steps for all seekers at once; either is acceptable. If seekers accidentally take extra steps, they should stop and roll the die retroactively until they have made up for the unaccounted steps. Seekers cannot take unaccounted steps on purpose, except in situations where it would be unsafe to not take extra steps (such as crossing a busy road.)"
Expansion 1,gildedinquiry,"Curse Of
The Gilded Inquiry","Secretly choose one question. If the seekers ask that question after this curse is played, the question is automatically vetoed and you instantly draw and keep three extra cards.",The seekers' next question is free.,"“Vetoed” in this case should be treated identically to a veto card being played; the question is not answered, no reward is given, and it is removed from the game for the rest of the round."
Expansion 1,grasstoucher,"Curse Of
The Grass-Toucher","The next question that the seekers ask must be asked at least 250ft (75m) from any named street (on Google Maps.) As always, no trespassing.",This curse must be cast at least 250ft (75m) from any named street.,—
Base Game,hiddenhangman,"Curse Of
The Hidden Hangman","Before asking another question or boarding another form of transportation, seekers must beat the hider in a game of hangman. To play, the hider chooses a 5 letter word, and the game ends after either a correct word guess or 7 wrong letter guesses (head, body, two arms, two legs, and a hat). The hider must respond to all queries within 30 seconds. The seekers cannot challenge the hider for 10 minutes after a loss. After [S1, M2, L3] losses, the seekers must wait 10 more minutes and then the curse is cleared.",Discard 2 cards.,"The chosen five-letter word must be a real word, found in a dictionary, in the language that the game is being played in. You cannot, for example, use a French word if all players only speak English. If the hider ever fails to respond to a query in 30 seconds, this curse is instantly cleared. "
Expansion 1,hideandseekception,"Curse Of
The Hide-And-Seek-Ception","All seekers but one must close their eyes. Without discussion, the remaining seeker must go somewhere at least 1,000ft (300m) away and not within direct eyeshot in any direction. The other seekers must find them, without asking them for any information, before asking another question.","The seekers must be off-transit, at least 1,000ft (300m) from a transit station.","The hiding seeker may call or text the other seeker(s) when they are in position, but no more communication is allowed. “Off-transit” means that players have physically disembarked their last form of transit and that it has left the station (i.e. you cannot temporarily step off a train while it’s  stopped to fulfill the condition.)"
Expansion 1,impenetrablefog,"Curse Of
The Impenetrable Fog","For the next hour, any time the seekers reach a street intersection, they must assign each direction to a number on their die. They may assign a direction to multiple numbers, but each direction must be assigned to at least one. Then, they roll the die to see what direction to go.","Roll a die. If it's odd, this curse has no effect.","“Intersection” here is defined as any point along a named path or street (i.e. has a name on whatever mapping app you choose to use) where the player has an opportunity to turn onto one or more different named paths or streets. If there are somehow more than six divergent paths, a random number generator can be used instead of a die."
Base Game,impressionableconsumer,"Curse Of
The Impressionable Consumer","Seekers must enter and gain admission (if applicable) to a location or buy a product that they saw an advertisement for before asking another question. This advertisement must be found out in the world, and must be at least 100ft (30m) from the product or location itself.",The seekers' next question is free.,"Any object or display whose primary purpose is to raise awareness of a product, service, or business counts as an advertisement. If the advertisement is for a specific service, such as a massage, the seekers must pay for and receive the service advertised. If the advertisement is for a location but not a specific service, such as an amusement park, the seekers must enter that location. Locations that are not private businesses, such as a public park, do not count. If you do not want to be forced to potentially spend money to fulfill this curse, it should be removed from the deck."
Base Game,jammeddoor,"Curse Of
The Jammed Door","For the next [S0.5, M1, L3] hours, whenever the seekers want to pass through a doorway into a building, business, train, or other vehicle, they must first roll 2 dice. If they do not roll a 7 or higher, they cannot enter that space (including through other doorways.) Any given doorway can be re-attempted after [S5, M10, L15] minutes.",Discard two cards.,"Seekers must roll two d6 dice. Dice can only be rolled to enter a doorway once the doorway is visible to the seekers. For example, if you are attempting to roll to enter a train, you cannot roll the dice before the train arrives; you must be able to see the train door first. Doorways within a building that lead to other parts of the same building, such as a store within a train station, do not need to pass a dice check. If there is any reasonable dispute as to whether something counts as a separate building, err on the side of doing a dice check. If the curse expires while a doorway is on cooldown, that cooldown also immediately expires."
Base Game,labyrinth,"Curse Of
The Labyrinth","Spend up to [S10, M20, L30] minutes drawing a solvable maze and send a photo of it to the seekers. You cannot use the internet to research maze designs. The seekers musts solve the maze before asking another question. ",Draw a maze.,"""Solvable,"" in this context, refers to a conventional solution to the maze—you must be able to draw an unbroken line from the start of the maze to the end of the maze. Your time limit begins from the moment you draw your first line; time spent gathering materials does not count. You may discard your maze and start drawing a maze at any point, but you cannot restart your timer. You may not consult the internet or any other materials when drawing your maze; it must come entirely from your own head."
Expansion 1,landline,"Curse Of
The Landline","For the next two hours, seekers may only use their phone for game-related purposes while it is charging via a wall outlet.","Seekers must be at least [S2, M5, L50]mi [S4, M8, L80]km from you.",—
Base Game,lemonphylactery,"Curse Of
The Lemon Phylactery","Before asking another question, the seekers must each find a lemon and affix it to their outermost layer of their clothes or skin. If, at any point, one of these lemons is no longer touching a seeker, you are awarded  [S30, M45, L60] minutes. This curse cannot be played during the endgame.",Discard a power-up.,"The lemon must be a real lemon. It can be affixed using any means, but must be constantly touching the seeker's skin or clothes. Once the lemon falls, the hider should be informed of their bonus immediately. ""Cemetery,"" in this context, refers to any land specifically designated as a burial ground."
Expansion 1,longshot,"Curse Of
The Long Shot","Once this curse is cast, the seekers have five minutes to provide one guess as to what transit station you are centered at. If they are correct, you must tell them so. If they are incorrect, they are frozen for [S18, M27, L45] minutes.","Seekers must be within [S2, M5, L50]mi [S3, M8, L80]km of you.","When seekers are “frozen,” they cannot make progress on clearing other curses or take any form of transit. If they are currently on transit when they become frozen, they must disembark at the next opportunity and wait out the rest of their freeze period at that station. Players may walk around freely while frozen for non game-related reasons, but must resume from the place where they were frozen when the freeze period concludes."
Base Game,luxurycar,"Curse Of
The Luxury Car",Take a photo of a car. The seekers must take a photo of a more expensive car before asking another question.,A photo of a car.,"You must be able to identify the car in question when sending the photo, and the seekers must agree that it is, in fact, the car that you claim it is. Use the MSRP of the car, factoring in its year of production, and disregarding any add-ons or modifications that may have been paid for. (For example: upgrades to the car's interior, special tires, custom colors, etc.) The photo sent to the seekers must include enough of the car for it to be identifiable. All of these rules also apply to the car found by the seekers. If you cannot confirm a car's exact production year or exact model, both sides must come to a consensus on which model and year to use for determining price."
Base Game,mediocretravelagent,"Curse Of
The Mediocre Travel Agent","Choose any publicly-accessible place within [S0.25, M0.25, L0.50]mi [S0.5, M0.5, L1]km of the seekers' current location. They cannot currently be on transit. They must go there, and spend at least [S5, M5, L10] minutes there, before asking another question. They must send you at least three photos of them enjoying their vacation, and procure an object to bring you as a souvenir. If this souvenir is lost before they can give it to you, you are awarded an extra [S30, M45, L60] minutes.",Their vacation destination must be further from you than their current location.,"""Publicly accessible"" in this context follows the same rules as ""publicly accessible"" in the context of hiding spots. The destination does not need to be a single point; it can be a small general area like a park or store. The souvenir can be literally any physical object. It does not need to be with the seekers at all times, but it must be with them at the moment that the hider is caught. "
Expansion 1,mindmeld,"Curse Of
The Mind Meld","On the count of three, any two seekers say any word at the same time. Assuming they're not the same word, they must wait [S1, M3, L5] minutes, and both seekers say a new word that they believe to be the midpoint between the last two words. You may not say any words that have already been said, or do anything at all to indicate what word you will say next
Seekers may not ask another question until they both say the same word.",Discard a card.,—
Expansion 1,nondominanthand,"Curse Of
The Non-Dominant Hand","For the next [S30, M45, L60] minutes, seekers may not use their dominant hand for any game-related task. That includes using their phone, completing a challenge, or writing anything on a map. If you're ambidextrous, choose a hand.",Discard a card.,—
Expansion 1,okaihauexpress,"Curse Of
The Okaihau Express","Seekers must record and send a video of themselves singing the full, memorized lyrics of Okaihau Express by Peter Cape — without any outside support — before asking another question. It is up to you, however, to prove if they have made a mistake.",Discard three time bonuses.,The full lyrics are as follows: [ see note or link ] 
Expansion 1,openmind,"Curse Of
The Open Mind",You no longer have a hand size limit.,Discard your hand.,—
Expansion 1,oracle,"Curse Of
The Oracle","Seekers must flip a coin and predict its outcome while it is in the air. If they are correct, they do it again.
If they are wrong, they must wait [S1, M3, L5] minutes. They may not ask another question until they get it correct three times in a row.",Discard two cards.,—
Base Game,overflowingchalice,"Curse Of
The Overflowing Chalice","For the next three questions, you may draw (not keep) an additional card when drawing from the hider deck.",Discard a card.,"Matching questions become draw 4, keep 1. Measuring questions become draw 4, keep 1. Thermometer questions become draw 3, keep 1. Radar questions become draw 3, keep 1. Photo questions become draw 2, keep 1. Tentacle questions become draw 5, keep 2."
Expansion 1,passengerprincess,"Curse Of
The Passenger Princess","The hider selects one seeker to be the passenger princess for the next [S30, M45, L60] minutes. The other seeker is the driver.
The passenger princess is not permitted to carry their own belongings, do any research, hold any maps, or discuss the game in any way. They may be involved in clearing curses if instructed to do so.",Discard two cards.,"If there are more than two seekers, there is still only one passenger princess. If there is only one seeker, this card cannot be played. The passenger princess may speak to the other seeker(s) as normal, but must effectively act as though the game does not exist and cannot provide any substantive commentary that could help the other players in any way."
Expansion 1,plaguedword,"Curse Of
The Plagued Word","For the next [S1, M1, L2] hours, asking a question creates a [S0.25, M1, L5]mi [S0.5, M2, L8]km radius where questions cannot be asked until this curse expires.","Seekers must be at least [S1, M3, L25]mi [S2, M6, L40]km from you.",—
Expansion 1,planespotter,"Curse Of
The Planespotter",The seekers must take a photo of an airplane and send it to the hider before asking another question.,Seekers must be within 10mi (15km) of a commercial airport.,—
Expansion 1,pomologist,"Curse Of
The Pomologist","Send the seekers a photo of a fruit, along with a link to its corresponding Wikipedia page. They must find the same type of fruit before asking another question.",A photo of a fruit.,"Specificity is defined by the title of the Wikipedia page (e.g. “Golden Delicious” is a variety of apple that has a Wikipedia page, so finding a Golden Delicious apple would require the seekers to do the same. “Summerset” is a variety of apple that does not have a Wikipedia page, so you could send the Wikipedia page for “apple” and the seekers could respond with anything that would fall under the category of “apple.”) You cannot create a Wikipedia page."
Expansion 1,pongchampion,"Curse Of
The Pong Champion","Throw a die into a container (maximum 6in (15cm) in diameter) from any distance you choose. You have three attempts. Seekers must throw a die into a container from the same horizontal distance before asking another question, but must wait [S1, M3, L5] minutes between attempts.",Successfully land the die in three attempts.,"Players may not practice or solicit any external support from people outside the game. The hider attempt follows the same parameters as the seeker attempt. The dice must come to rest in the cup; if they enter but bounce out, they are not scored."
Expansion 1,postoffice,"Curse Of
The Post Office",Seekers must successfully mail a letter with their next question in it to your home address before asking another question.,Seekers must be within 0.5mi (1km) of a post office that is open for the next hour. You must provide them your home address.,"After the letter has been mailed, they may also use any other form of communication to ask you the question."
Expansion 1,prophet,"Curse Of
The Prophet",Rearrange the top ten cards of the deck in any order you choose.,Discard two cards.,—
Expansion 1,prosperoushome,"Curse Of
The Prosperous Home",Expand the radius of your hiding zone by 50%.,"Discard at least [S10, M15, L20] minutes worth of time bonuses.",Players may not discard part of a time bonus; they must discard cards in their entirety. It is possible that players may have to discard more than the required number of minutes in order to pay for this curse.
Expansion 1,queue,"Curse Of
The Queue","Seekers may not ask another question until they've waited in line for at least five minutes. They may wait in different lines, but they cannot wait in the same line more than once. They may not let people cut in front of them in line, and lines must have at least two people when they enter them.",You must currently be in line somewhere.,Players are considered no longer in line once there are no more people in front of them.
Expansion 1,quill,"Curse Of
The Quill","Before asking another question, the seekers must spell out the name of the category they intend to use (e.g. PHOTO or MATCHING) by sending photos of handwritten letters they've found in the world. The letters do not all need to be found in the same place, but they must be created by other people and not printed by any kind of machine. They cannot use a letter twice.",Seekers must be at least 500ft (150m) from any transit station.,"The category words are: MATCHING, MEASURING, RADAR, THERMOMETER, PHOTO, TENTACLES. There must be reasonable evidence to suggest that a handwritten letter was written directly on the surface by a person (with a pencil, pen, marker, paintbrush, spray can, chalk, etc.) and not printed."
Base Game,ransomnote,"Curse Of
The Ransom Note",The next question that the seekers ask must be composed of words and letters cut out of any printed material. The question must be coherent and include at least 5 words.,"Spell out ""ransom note"" as a ransom note (without using this card).","You cannot begin fulfilling the casting cost of this curse if you would be otherwise unable to play a curse; once the cost is fulfilled, this curse must be cast immediately. The printed material cannot be printed by the seekers; the letters should be gathered from magazines, newspapers, or any other material that the seekers encounter in the wild. ""Coherence"" in this context does not necessarily mean complete sentences, but the hider should be able to discern the meaning of the question without further clarification. You may use easy-to-understand abbreviations for certain words (such as a ""2"" instead of ""to."") If the question requires additional context outside of the basic sentence itself, this context does NOT need to be provided in the form of a ransom note. For example, if you are asking a thermometer question, you can simply ask something along the lines of, ""Went 10 km. Hotter/colder?"" Any information about where you started and ended the thermometer can be provided as normal, in the form of a location pin or text."
Expansion 1,rewind,"Curse Of
The Rewind",Seekers must ask their next question from the exact place they asked their last question.,The last question must have been asked during the end game.,It is the responsibility of the hider to keep track of where the last question was asked (and therefore where the seekers must return before asking their next question.)
Base Game,rightturn,"Curse Of
The Right Turn","For the next [S20, M40, L60] minutes the seekers can only turn right at any street intersection. If at any point, they find themselves in a dead end where they cannot continue forward or turn right for another 1,000ft (300m) they may do a full 180. A right turn is defined as a road at any angle that veers to the right of the seekers.",Discard a card.,"This curse only applies to street intersections, meaning the intersection between two roads intended for cars (or the pedestrian sidewalks along those roads.) This curse would not have any effect indoors, or in an area where there are no streets."
Expansion 1,runner,"Curse Of
The Runner","For the next [S30, M45, L60] minutes, the seekers are only allowed to run or be still. They may not walk.","Discard [S4, M6, L10] minutes worth of time bonuses.","“Running” is defined as a gait that does not have a double-support phase (i.e. both feet cannot be touching the ground at the same time.) If players want to be still and place both feet on the ground simultaneously, they must do so for 5 seconds or longer. Players may not discard part of a time bonus; they must discard cards in their entirety. It is possible that players may have to discard more than the required number of minutes in order to pay for this curse."
Expansion 1,seabird,"Curse Of
The Seabird","Seekers must photograph a bird within 10ft (3m) of a body of water. If, after [S30, M45, L60] minutes, no bird has been photographed, this curse is automatically cleared.",Seekers must be off-transit within 0.5mi (1km) of a natural body of water.,"“Body of water” can be natural or manmade, but must be large enough to be visible on the mapping app you are using. “Off-transit” means that players have physically disembarked their last form of transit and that it has left the station (i.e. you cannot temporarily step off a train while it’s stopped to fulfill the condition.)"
Expansion 1,seventhseal,"Curse Of
The Seventh Seal","Your current hiding time, excluding bonuses, is doubled. All remaining time this run is not doubled.",Discard six curses.,
Expansion 1,shark,"Curse Of
The Shark","For the next [S30, M45, L60] minutes, the seekers are not allowed to stop walking for any reason.",Discard a power-up.,"Power-ups include veto, randomize, duplicate, discard 1 draw 2, discard 2 draw 3, discard 3 draw 4, expand maximum hand size by 1, and expand maximum hand size by 2."
Expansion 1,shrewdcritic,"Curse Of
The Shrewd Critic","Without using the internet, the seekers must find and visit a location (going inside or immediately outside) that has at least a 4.3 star average rating on Google Maps before asking another question. If their guess was wrong, they must wait [S2, M5, L10] minutes before guessing another location. They cannot be on transit when submitting a guess.",Seekers must be currently off-transit within 500ft (150m) of a location that has at least a 4.3 star average rating on Google Maps.,"If the guessed location does not have a Google pin or any reviews, seekers may make another guess immediately. “Off-transit” means that players have physically disembarked their last form of transit and that it has left the station (i.e. you cannot temporarily step off a train while it’s stopped to fulfill the condition.)"
Expansion 1,sniper,"Curse Of
The Sniper","Send the seekers a photo you've taken of them. Upon receiving this curse, they have 60 seconds to take a photo of you and end your run. If they fail, draw and keep five cards. You no longer have a maximum hand size.",A photo of the seekers.,All seekers must be visible in the photo provided. The 60 seconds begins from the moment the curse and photo are delivered.
Expansion 1,soothsayer,"Curse Of
The Soothsayer","For the rest of the round, you may choose to predict the next question after each question is asked. If you are right, you earn triple rewards. If you are wrong, you earn no reward.",Discard a curse.,"“Triple rewards” means that the reward is earned three times in succession, not all at once (i.e. a radar question would have you draw two, keep one, draw two, keep one, draw two, keep one.)"
Base Game,spottymemory,"Curse Of
Spotty Memory","For the rest of the run, one random category of questions will be disabled at all times. After this curse is played, seekers must roll a die to determine the category of questions to be disabled. This category remains disabled until the next question is asked, at which point a die is rolled again to choose a new category. The same category can be disabled multiple times in a row.",Discard a time bonus.,"The seekers should assign die numbers to each category before their first roll. For small-sized games, which only include five categories of questions, a six would result in a reroll."
Expansion 1,strider,"Curse Of
The Strider","Walk or run any total distance over the course of 30 minutes. The seekers must travel that same distance together, on foot before asking another question (e.g. the hider runs 3 miles, the seekers must each walk/run 3 miles.)",Travel a distance on foot.,—
Expansion 1,strongman,"Curse Of
The Strongman","One hider completes as many push-ups as they can over the course of 15 minutes. They may use any standard of push-up (ie. using knees, chest touches ground, chest touches fist, etc.) The seekers must collectively do this many push-ups of the same standard before asking another question.",Do X push-ups.,—
Expansion 1,tinyhome,"Curse Of
The Tiny Home",All time bonus cards held at the end of this round are worth 50% extra.,The radius of your hiding zone is halved. This curse cannot be played during the endgame.,This curse cannot be played if the hider would be outside their new zone once the curse takes effect; it must be played within a half radius of the station.
Expansion 1,trickster,"Curse Of
The Trickster","You may lie — or provide a false photo — for one of the next three questions that the seekers ask. As always, you must send a photo of this curse when cast.",Discard a curse.,You are not required to lie after playing this curse; you may choose to answer the next three questions truthfully.
Base Game,unguidedtourist,"Curse Of
The Unguided Tourist","Send the seekers an unzoomed Google Street View image from a street within 500ft (150m) of where they are now. The shot has to be parallel to the horizon and include at least one human-built structure other than a road. Without using the internet for research, they must find what you sent them in real life before they can use transportation or ask another question. They must send a picture to the hiders for verification.",Seekers must be outside.,"The human-built structure in question cannot be any part of a road, including curbs or sidewalks. If you are playing in a country or area with highly limited Google Street View coverage (such as Germany), this curse should be removed from the deck."
Expansion 1,untetheredspirit,"Curse Of
The Untethered Spirit",You may move freely within your hiding zone during this round's endgame.,The tracker is reversed.,—
Base Game,urbanexplorer,"Curse Of
The Urban Explorer",For the rest of the run seekers cannot ask question when they are on transit or in a train station.,Discard 2 cards.,"Any pending questions thta were asked on transit before this curse was played must still be answered. Questions can still be asked outside of transit stations, but seekers cannot be on a platform or in any building associated with the transit station when asking questions."
Base Game,uturn,"Curse Of
The U-Turn","The seekers must disembark their current mode of transportation at the next station (as long as that station is served by another form of transit in the next [S0.5, M0.5, L1] hours.)",Seekers must be heading the wrong way. (Their next station is further from you then they are.),"""Next station,"" in this context, refers to the next station that the seekers' current mode of transit will stop at; if there are stops along the line that their current route will skip, those should be disregarded. If you are not sure whether the seekers are on transit, or whether their route will stop at a particular station, you may ask them for that information. If there is any ambiguity, you should tell them what you believe their next station is when this curse is cast to confirm that you didn't misread your tracker. Even if the seekers' current mode of transit would eventually bring them closer to you, this curse may still be played so long as their next station is further; a line that heads in your direction but temporarily curves away is a particularly advantageous situation for this curse."
Expansion 1,void,"Curse Of
The Void","For the next three questions that the seekers ask, roll a die. If you roll a 1, 2, 3, or 4, that question is automatically vetoed.",Discard a veto.,—
Base Game,waterweight,"Curse Of
Water Weight","Seekers must acquire and carry at least 2 liters of liquid per seeker for the rest of your run. They cannot ask another question until they have acquired the liquid. The water may be distributed between seekers as they see fit. If the liquid is lost or abandoned at any point after acquisition, the hider is awarded a [S30, M30, L60] minute bonus.","Seekers must be within 1,000ft (300m) of a body of water.","Any liquid already traveling with the seekers at the time that this curse is played (e.g. water bottles) does not count. The liquid can be in any number of containers, and can be passed back and forth between seekers at any time. The liquid can be set down when the seekers are stationary or on transit, but it is considered ""abandoned"" once it is no longer within 3 meters of any seeker. The hider must be informed of their bonus immediately. ""Body of water"" within this context does not necessarily mean natural, but it cannot be a pool and must be large enough to be marked on the map."
Expansion 1,zippedlip,"Curse Of
The Zipped Lip","Seekers can only communicate to one another through gestures and closed-mouth non-word sounds for the next [S10, M20, L30] minutes. They can speak to other people, but cannot speak or write any message intended for another seeker.",Discard a power-up.,"Power-ups include veto, randomize, duplicate, discard 1 draw 2, discard 2 draw 3, discard 3 draw 4, expand maximum hand size by 1, and expand maximum hand size by 2."
Base Game,zoologist,"Curse Of
The Zoologist","Take a photo of a wild fish, bird, mammal, reptile, amphibian, or bug. The seekers must take a picture of a wild animal in the same category before  asking another question.",A photo of an animal.,"""Bug"" in this context refers to any insect, arachnid, diplopoda, chilopoda, or anything else that would be colloquially and commonly referred to as a ""bug."" ""Wild"" in this context means undomesticated and not kept in human captivity, including large-scale outdoor instances of captivity, such as farms or sanctuaries. The photo must include enough of the animal that it is recognizable within its category. If there is any dispute as to an animal's classification, defer to Wikipedia. Animals outside of any of these categories (such as crustaceans) cannot be used for this curse."
